scenario,intervention,spatial_clustering,spatial_clustering,network_homophily,network_homophily,cross_cultural_friendship_share,cross_cultural_friendship_share,mean_stress,mean_stress,mean_stress_active,mean_stress_active,isolation_rate,isolation_rate,active_social_ties,active_social_ties,mean_tie_strength,mean_tie_strength,mean_cultural_dist,mean_cultural_dist
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
balanced,False,0.8389756813302383,0.030666568689266097,0.32935725722064635,0.018955959296650497,0.6706427427793537,0.018955959296650473,0.03626941727766523,0.014961584389365203,0.011460620226705106,0.0049916280984445794,0.0441,0.02074887441462028,1367.1,86.43823471735541,1.035632184961913,0.023451943942876512,0.22228762180165282,0.006111445722423791
balanced,True,0.8736156736879961,0.025481010119197667,0.2833527364359775,0.01678770257195185,0.7166472635640224,0.016787702571951845,0.022475434153327267,0.009839816858402671,0.006795348912019004,0.0033258069860022804,0.027800000000000002,0.013640496981222378,1640.55,67.35879968301725,0.9652637866096592,0.020569244271745585,0.21395013729601864,0.0037131866603797763
baseline,False,0.7841187050220672,0.034185047088871455,0.4861016380660277,0.03017506557002175,0.5138983619339723,0.03017506557002174,0.07622808785963185,0.011584224870654813,0.01648482247061677,0.0037795190002325725,0.1116,0.019613099811363992,1532.5,77.18910476703847,1.02586589106201,0.02242324265417268,0.23725395454527942,0.006174266633438489
baseline,True,0.8129464427610591,0.02252498170151497,0.42343083874176035,0.023985543157261535,0.5765691612582396,0.023985543157261546,0.06553389973822019,0.01011322558962468,0.012680782039815926,0.0035179843829891027,0.0974,0.016620849303779495,1790.25,83.86259124619463,0.9610455945578298,0.022346347319220253,0.2306269128075186,0.005334857135050919
chinese_heavy,False,0.7445019838852192,0.03541215145558305,0.634710432848632,0.03949062597113011,0.36528956715136796,0.039490625971130115,0.08299420991226472,0.018169790414329024,0.02124663014644706,0.007370056166887883,0.1131,0.025484567053311636,1148.3,93.59773951386464,1.0495964542399105,0.020411181233162268,0.23839932977826028,0.008218806617895369
chinese_heavy,True,0.7610416222321329,0.02751137166443805,0.5226460775018067,0.030501797848500302,0.4773539224981933,0.03050179784850028,0.06891948871303794,0.012876541085189807,0.02110287077497213,0.006123743128040793,0.0866,0.015135875820120392,1377.5,58.671700342265794,0.9603901514438664,0.01915088803455667,0.22994525984490366,0.004600989454741713
