scenario,intervention,spatial_clustering,network_homophily,cross_cultural_friendship_share,mean_stress,mean_stress_active,isolation_rate,active_social_ties,mean_tie_strength,mean_cultural_dist
balanced,False,0.8389756813302383,0.32935725722064635,0.6706427427793537,0.03626941727766523,0.011460620226705106,0.0441,1367.1,1.035632184961913,0.22228762180165282
balanced,True,0.8736156736879961,0.2833527364359775,0.7166472635640224,0.022475434153327267,0.006795348912019004,0.027800000000000002,1640.55,0.9652637866096592,0.21395013729601864
baseline,False,0.7841187050220672,0.4861016380660277,0.5138983619339723,0.07622808785963185,0.01648482247061677,0.1116,1532.5,1.02586589106201,0.23725395454527942
baseline,True,0.8129464427610591,0.42343083874176035,0.5765691612582396,0.06553389973822019,0.012680782039815926,0.0974,1790.25,0.9610455945578298,0.2306269128075186
chinese_heavy,False,0.7445019838852192,0.634710432848632,0.36528956715136796,0.08299420991226472,0.02124663014644706,0.1131,1148.3,1.0495964542399105,0.23839932977826028
chinese_heavy,True,0.7610416222321329,0.5226460775018067,0.4773539224981933,0.06891948871303794,0.02110287077497213,0.0866,1377.5,0.9603901514438664,0.22994525984490366
