spatial_clustering,network_homophily,cross_cultural_friendship_share,mean_stress,mean_stress_active,isolation_rate,active_social_ties,friendship_count,mean_tie_strength,ties_created_total,ties_removed_total,mean_cultural_dist,scenario,intervention,seed,tick,run
0.8050277117973079,0.5045278137128072,0.4954721862871928,0.07784532552542926,0.015747888936354495,0.114,1546,1546,1.0210300815350426,2737,1191,0.23798401734871774,baseline,False,1000,300,0
0.7833333333333332,0.5309508615188258,0.46904913848117424,0.07904352659171754,0.02036622968557023,0.108,1567,1567,1.0774222057466607,2831,1264,0.23706749172076494,baseline,False,1001,300,1
0.8339578454332554,0.48646907216494845,0.5135309278350515,0.07796023724611598,0.0203771650953308,0.106,1552,1552,1.0113121056720347,2810,1258,0.23764000473942776,baseline,False,1002,300,2
0.7347457627118644,0.5203527815468114,0.4796472184531886,0.09614789702216683,0.02258459953007879,0.142,1474,1474,1.0213140161059364,2633,1159,0.24865658925955997,baseline,False,1003,300,3
0.8245447347585114,0.47357992073976224,0.5264200792602378,0.0664190237278566,0.014794579603380632,0.1,1514,1514,1.0543810542628271,2744,1230,0.23552459787231603,baseline,False,1004,300,4
0.7267533490937746,0.4520255863539446,0.5479744136460554,0.08077371070221391,0.018135486125804266,0.122,1407,1407,1.0131303824832385,2538,1131,0.2434046843564542,baseline,False,1005,300,5
0.7958631662688943,0.453382084095064,0.546617915904936,0.06445671070860477,0.013953319220277732,0.086,1641,1641,1.004893199237803,2948,1307,0.23006029314645102,baseline,False,1006,300,6
0.8018606492478227,0.42998027613412226,0.5700197238658777,0.06791716290286845,0.010571241362656338,0.108,1521,1521,1.0174546893420349,2816,1295,0.23335121825390562,baseline,False,1007,300,7
0.7761282660332541,0.4666234607906675,0.5333765392093325,0.07430422197439322,0.018451927712919924,0.106,1543,1543,1.0274657172243256,2760,1217,0.23584992113271544,baseline,False,1008,300,8
0.7597392013039935,0.49936224489795916,0.5006377551020409,0.08295969374315168,0.012345664158553524,0.128,1568,1568,1.0182378862446009,2800,1232,0.23915400216667937,baseline,False,1009,300,9
0.7830508474576271,0.48168839230291743,0.5183116076970826,0.08385659053751256,0.01632789382334006,0.126,1611,1611,1.0249802056897575,2838,1227,0.24194290944454144,baseline,False,1010,300,10
0.7505246166263116,0.45165652467883705,0.5483434753211629,0.07424461255409315,0.014738252362222645,0.12,1479,1479,1.003901262327018,2734,1255,0.24039292785453675,baseline,False,1011,300,11
0.7349624060150376,0.46583442838370565,0.5341655716162943,0.07552728164891963,0.015337313958944953,0.106,1522,1522,1.035779346872705,2751,1229,0.236348981153972,baseline,False,1012,300,12
0.8234423676012461,0.4740218088518281,0.5259781911481719,0.05561992839519596,0.013960012534319723,0.076,1559,1559,1.0232050325496078,2815,1256,0.2285344625617241,baseline,False,1013,300,13
0.823317498020586,0.48771021992238034,0.5122897800776196,0.07549627072312855,0.023887867271440252,0.102,1546,1546,0.9937825476918961,2835,1289,0.236810674310541,baseline,False,1014,300,14
0.8099918099918099,0.4794425087108014,0.5205574912891986,0.07015084784330634,0.022215904268100654,0.094,1435,1435,1.010686562870912,2615,1180,0.23315613939258156,baseline,False,1015,300,15
0.7369984567901234,0.5168316831683168,0.48316831683168315,0.09646811933509856,0.013221989853128727,0.152,1515,1515,1.0543671213604366,2694,1179,0.24641811672594094,baseline,False,1016,300,16
0.8184085510688837,0.5418098510882016,0.45819014891179843,0.05339119386140589,0.011903945691570323,0.082,1746,1746,1.0524049052187239,3090,1344,0.22230364137148945,baseline,False,1017,300,17
0.7860916860916861,0.5280054644808743,0.47199453551912574,0.09371213526533666,0.0166177252848303,0.136,1464,1464,0.9963941370685756,2785,1321,0.24405990228237562,baseline,False,1018,300,18
0.7736318407960199,0.4777777777777778,0.5222222222222221,0.0782672668841215,0.014157442933511007,0.118,1440,1440,1.0551753617360609,2617,1177,0.23641851581089326,baseline,False,1019,300,19
0.8162735849056604,0.4082177161152615,0.5917822838847385,0.05868989871936371,0.006539670836787632,0.096,1874,1874,0.9933895195796744,3675,1801,0.22712857840756057,baseline,True,2000,300,0
0.830861244019139,0.4261763115197404,0.5738236884802597,0.0651889739945915,0.01433620124594208,0.09,1849,1849,0.9560968442643217,3613,1764,0.2265116977818278,baseline,True,2001,300,1
0.8567961165048543,0.37667638483965016,0.6233236151603498,0.04241515004773291,0.01139719689664652,0.06,1715,1715,0.9614261266405713,3358,1643,0.22409965959404632,baseline,True,2002,300,2
0.80103668261563,0.40965273690406123,0.5903472630959388,0.05879292119894414,0.0111924939757218,0.092,1699,1699,0.9829744676191587,3360,1661,0.2316279238820958,baseline,True,2003,300,3
0.7877990430622008,0.4607104413347686,0.5392895586652314,0.07153414285939111,0.012765968228580471,0.108,1858,1858,1.0031912664679719,3644,1786,0.2326159157653056,baseline,True,2004,300,4
0.8199040767386091,0.4047751249305941,0.5952248750694059,0.07389678169711848,0.007314584647729272,0.12,1801,1801,0.9145528225992526,3484,1683,0.2350143427691226,baseline,True,2005,300,5
0.8206812652068127,0.448256779192031,0.551743220807969,0.06184903079663289,0.012433325814200194,0.098,1807,1807,0.9654873643711499,3546,1739,0.23430907992763733,baseline,True,2006,300,6
0.7816706254948534,0.4139344262295082,0.5860655737704918,0.07618056999814862,0.015728570127028815,0.108,1708,1708,0.961478812619946,3432,1724,0.23624534384947532,baseline,True,2007,300,7
0.7806513409961686,0.4438888888888889,0.5561111111111111,0.07443112870386928,0.010393194347659607,0.124,1800,1800,0.9584099094398559,3520,1720,0.23517514261196723,baseline,True,2008,300,8
0.830829420970266,0.4028409090909091,0.5971590909090909,0.0595276180637264,0.013949391014300868,0.084,1760,1760,0.93291083581764,3521,1761,0.22694425161894205,baseline,True,2009,300,9
0.7866348448687351,0.4227146814404432,0.5772853185595568,0.07830652457309142,0.012863513323687192,0.118,1805,1805,0.9785951032603664,3567,1762,0.23473596651332984,baseline,True,2010,300,10
0.8051937984496125,0.45674531155474896,0.543254688445251,0.07932496952328487,0.020715783395006977,0.106,1653,1653,0.9228537244399605,3345,1692,0.2387467087657872,baseline,True,2011,300,11
0.8103517186250998,0.4322508398656215,0.5677491601343785,0.07112093517661493,0.010877892705989087,0.114,1786,1786,0.9496861946993707,3488,1702,0.2310830837915643,baseline,True,2012,300,12
0.7711943793911006,0.40929451287793955,0.5907054871220605,0.07820386052564945,0.014171130517749394,0.112,1786,1786,0.971258224797845,3513,1727,0.23357837007292626,baseline,True,2013,300,13
0.8186893203883494,0.43205768164170827,0.5679423183582917,0.05966824618838108,0.01705398338064347,0.078,1803,1803,0.965392120718276,3592,1789,0.22681038192662475,baseline,True,2014,300,14
0.8248006379585326,0.43471252015045675,0.5652874798495433,0.059693833280985584,0.011257455423892185,0.086,1861,1861,0.977642020538002,3681,1820,0.22327039960311443,baseline,True,2015,300,15
0.8418058870326174,0.46153846153846156,0.5384615384615384,0.06469187600159555,0.012139957479506984,0.086,1898,1898,0.9351033807731447,3753,1855,0.2222193259312991,baseline,True,2016,300,16
